name,sum,count
"Общество с ограниченной ответственностью ""ВИТМИНА""                                                                                                                                                                                                             ",10261075.49,24
"Частное унитарное транспортное предприятие ""М-Транспорт""                                                                                                                                                                                                       ",10261075.49,24
"Товарищество с ограниченной ответственностью ""Онтyстiк Логистик""                                                                                                                                                                                               ",10261075.49,24
"Общество с ограниченной ответственностью ""Микоил-М""                                                                                                                                                                                                            ",20522150.98,48
"Общество с дополнительной ответственностью ""Белэкс и К""                                                                                                                                                                                                        ",10261075.49,24
"ООО ""Уссурийскстройтранс""                                                                                                                                                                                                                                      ",17901968503.0,3
"ООО ""Дальимпэкс ДВ Сервис""                                                                                                                                                                                                                                     ",1.07411811018e+11,18
"Совместное белорусско-российское предприятие ""ВЕСТАВТО"" в форме открытого  акционерного  общества                                                                                                                                                              ",41044301.96,96
"Общество с ограниченной ответственностью ""ММА-Транс""                                                                                                                                                                                                           ",20522150.98,48
"общество с ограниченной ответственностью ""Мобикар""                                                                                                                                                                                                             ",41044301.96,96
"Открытое акционерное общество ""Борисовинтертранс""                                                                                                                                                                                                              ",20522150.98,48
"ТОО ""ASCO-TRANS GROUP""                                                                                                                                                                                                                                         ",10261075.49,24
"Открытое акционерное общество ""Биартрас"" Минский район                                                                                                                                                                                                         ",20522150.98,48
"Общество с ограниченной ответственностью ""Белсотра""                                                                                                                                                                                                            ",30783226.47,72
"Открытое акционерное общество ""Автопарк N 4""                                                                                                                                                                                                                   ",10261075.49,24
"Акционерное общество ""Авиакомпания ""Мирас""                                                                                                                                                                                                                     ",10261075.49,24
"Транспортное унитарное предприятие ""Ванберг""                                                                                                                                                                                                                   ",20522150.98,48
"Общество с ограниченной ответственностью ""Генекс Логистик""                                                                                                                                                                                                     ",30783226.47,72
"ООО ""КРАФТЕР""                                                                                                                                                                                                                                                  ",461691.24,24
"ТОО ""Victory-Trans""                                                                                                                                                                                                                                            ",10261075.49,24
"Частное унитарное производственно-торговое предприятие ""Тищенко""                                                                                                                                                                                               ",10261075.49,24
"Частное транспортное унитарное предприятие ""ТрансЭдем""                                                                                                                                                                                                         ",10261075.49,24
"Общество с ограниченной ответственностью ""ПРИМА-ТРАНС""                                                                                                                                                                                                         ",20522150.98,48
"ООО ""ДАН ТРАНС""                                                                                                                                                                                                                                                ",10261075.49,24
"Иностранное общество с ограниченной ответственностью ""АсстрА Транспорт""                                                                                                                                                                                        ",41044301.96,96
"Общество с ограниченной ответственностью ""ОРВЕСТ""                                                                                                                                                                                                              ",123132905.88,288
"Товарищество с ограниченной ответственностью ""TAMGA-EXPRESS""                                                                                                                                                                                                   ",10261075.49,24
"ООО ""Россия""                                                                                                                                                                                                                                                   ",35803937006.0,6
"Транспортное частное унитарное предприятие ""ЯНСТРОНГ""                                                                                                                                                                                                          ",10261075.49,24
"Общество с ограниченной ответственностью ""ИВАТРАНС""                                                                                                                                                                                                            ",30783226.47,72
"ТОО ""ИтнерАвтоТранс""                                                                                                                                                                                                                                           ",10261075.49,24
"Общество с ограниченной ответственностью ""Автомир-Экспресс""                                                                                                                                                                                                    ",10261075.49,24
"Общество с ограниченной ответственностью ""ГЕНЕКС""                                                                                                                                                                                                              ",10261075.49,24
"Общество с ограниченной ответственностью ""ЮМБО-ТРАНС""                                                                                                                                                                                                          ",30783226.47,72
"Республиканское унитарное предприятие ""Национальная авиакомпания ""Белавиа""                                                                                                                                                                                     ",10261075.49,24
"Унитарное производственно-торговое частное предприятие ""Альфа"" М.Сапега                                                                                                                                                                                        ",20522150.98,48
"Частное производственно-транспортное унитарное предприятие ""Берёзаавтотранс""                                                                                                                                                                                   ",10261075.49,24
"ООО ""СПАЙКА""                                                                                                                                                                                                                                                   ",10261075.49,24
"Совместное белорусско-австрийское предприятие ""ВЕСТИНТЕРТРАНС"" общество с ограниченной ответственностью                                                                                                                                                        ",41044301.96,96
