id	name
I	Живые животные; продукты животного происхождения (01-05)
01	Живые животные
0101	Лошади, ослы, мулы и лошаки живые:
0102	Крупный рогатый скот живой:
0103	Свиньи живые:
0104	Овцы и козы живые:
0105	Домашняя птица живая, то есть куры домашние (Gallus domesticus), утки, гуси, индейки и цесарки:
0106	Живые животные прочие:
02	Мясо и пищевые мясные субпродукты
0201	Мясо крупного рогатого скота, свежее или охлажденное:
0202	Мясо крупного рогатого скота, замороженное:
0203	Свинина свежая, охлажденная или замороженная:
0204	Баранина или козлятина свежая, охлажденная или замороженная:
020500	Мясо лошадей, ослов, мулов или лошаков, свежее, охлажденное или замороженное:
0206	Пищевые субпродукты крупного рогатого скота, свиней, овец, коз, лошадей, ослов, мулов или лошаков, свежие, охлажденные или замороженные:
0207	Мясо и пищевые субпродукты домашней птицы, указанной в товарной позиции 0105, свежие, охлажденные или замороженные:
0208	Прочие мясо и пищевые мясные субпродукты, свежие, охлажденные или замороженные:
0209	Свиной жир, отделенный от тощего мяса, и жир домашней птицы, не вытопленные или не извлеченные другим способом, свежие, охлажденные, замороженные, соленые, в рассоле, сушеные или копченые:
0210	Мясо и пищевые мясные субпродукты, соленые, в рассоле, сушеные или копченые; пищевая мука тонкого и грубого помола из мяса или мясных субпродуктов:
03	Рыба и ракообразные, моллюски и прочие водные беспозвоночные
0301	Живая рыба:
0302	Рыба свежая или охлажденная, за исключением рыбного филе и прочего мяса рыбы товарной позиции 0304:
0303	Рыба мороженая, за исключением рыбного филе и прочего мяса рыбы товарной позиции 0304:
0304	Филе рыбное и прочее мясо рыбы (включая фарш), свежие, охлажденные или мороженые:
0305	Рыба сушеная, соленая или в рассоле; рыба копченая, не подвергнутая или подвергнутая тепловой обработке до или в процессе копчения; рыбная мука тонкого и грубого помола и гранулы из рыбы, пригодные для употребления в пищу:
0306	Ракообразные, в панцире или без панциря, живые, свежие, охлажденные, мороженые, сушеные, соленые или в рассоле; ракообразные копченые, в панцире или без панциря, не подвергнутые или подвергнутые тепловой обработке до или в процессе копчения; ракообразные в панцире, сваренные на пару или в кипящей воде, охлажденные или неохлажденные, мороженые, сушеные, соленые или в рассоле; мука тонкого и грубого помола и гранулы из ракообразных, пригодные для употребления в пищу:
